SK_LOCAL,NM_MUNICIPIO,NM_LOCAL_VOTACAO,LATITUDE,LONGITUDE,CONFIANCA,QUERY_USADA,FONTE,DATA_GEOCODIFICACAO
991,BELA VISTA DO PIAUÍ,UNIDADE ESCOLAR DE SITIO,-7.9716353,-41.8715061,municipio,"BELA VISTA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
497,BENEDITINOS,CRECHE MUNICIPAL TIA CRISTINA,-5.4603433,-42.3578699,endereco,"RUA VENÂNCIO CARDOSO, BENEDITINOS, Piauí, Brasil",nominatim_osm,2026-08-02
181,BURITI DOS MONTES,UNIDADE ESCOLAR ANTÔNIO DE ARAÚJO MELO,-5.1797642,-40.9747125,localidade,"JATOBÁ MEDONHO, BURITI DOS MONTES, Piauí, Brasil",nominatim_osm,2026-08-02
637,CAMPINAS DO PIAUÍ,POSTO DE SAUDE MUNICIPAL DE SALINAS,-7.73203,-41.8112681,localidade,"SALINAS, CAMPINAS DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
673,CAMPO MAIOR,DIRETORIA REGIONAL DE SAUDE,-4.8405746,-42.1761675,endereco,"AV. CONTORNO S/N, CAMPO MAIOR, Piauí, Brasil",nominatim_osm,2026-08-02
716,CAMPO MAIOR,GRUPO ESCOLAR RAIO DE ESPERANÇA,-4.8195148,-42.179003,endereco,"RUA BENTO CARVALHO, CAMPO MAIOR, Piauí, Brasil",nominatim_osm,2026-08-02
700,CAMPO MAIOR,INPS ( AGENCIA),-4.8339574,-42.1739786,municipio,"CAMPO MAIOR, Piauí, Brasil",nominatim_osm,2026-08-02
658,CAMPO MAIOR,SECRETARIA MUNICIPAL DE EDUCAÇÃO,-4.8232441,-42.1657331,endereco,"RUA PADRE MANOEL FELIX S/N, CAMPO MAIOR, Piauí, Brasil",nominatim_osm,2026-08-02
747,CAPITÃO DE CAMPOS,CENTRO SOCIAL SALVADOR EVANGELISTA,-4.4629884,-41.9439707,endereco,"AV. SANTOS DUMONT 270, CAPITÃO DE CAMPOS, Piauí, Brasil",nominatim_osm,2026-08-02
765,CAPITÃO DE CAMPOS,GRUPO ESCOLAR ADELAIDE MAGALHAES,-4.4656793,-41.9362489,endereco,"RUA ADELAIDE MAGALHAES, S/N, CAPITÃO DE CAMPOS, Piauí, Brasil",nominatim_osm,2026-08-02
757,CAPITÃO DE CAMPOS,GRUPO ESCOLAR TIRADENTES,-4.580296,-41.810597,localidade,"TAPERA, CAPITÃO DE CAMPOS, Piauí, Brasil",nominatim_osm,2026-08-02
763,CAPITÃO DE CAMPOS,UNIDADE ESCOLAR AVELINA ROSA DE MELO,-4.4584198,-41.9415301,municipio,"CAPITÃO DE CAMPOS, Piauí, Brasil",nominatim_osm,2026-08-02
1095,CAPITÃO GERVÁSIO OLIVEIRA,UNIDADE ESCOLAR ENEDINO PEREIRA DE OLIVEIRA,-8.6832171,-41.8620247,localidade,"UMBUZEIRO, CAPITÃO GERVÁSIO OLIVEIRA, Piauí, Brasil",nominatim_osm,2026-08-02
1093,CAPITÃO GERVÁSIO OLIVEIRA,UNIDADE ESCOLAR JOAQUIM BARBOSA DE SOUSA,-8.5676512,-41.8746336,localidade,"LAGOA COMPRIDA, CAPITÃO GERVÁSIO OLIVEIRA, Piauí, Brasil",nominatim_osm,2026-08-02
808,CASTELO DO PIAUÍ,UNIDADE ESCOLAR DAMIÃO MARQUES DE PINHO,-5.5323656,-41.4737119,localidade,"CUMBE DE BAIXO, CASTELO DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
3413,COCAL DE TELHA,ESCOLA MUNICIPAL FRANCISCO GERÔNIMO PRIMO,-4.5553648,-41.9722429,municipio,"COCAL DE TELHA, Piauí, Brasil",nominatim_osm,2026-08-02
3412,COCAL DE TELHA,ESCOLA MUNICIPAL JOSE RODRIGUES,-4.6132858,-42.0418364,localidade,"SAMBAIBA, COCAL DE TELHA, Piauí, Brasil",nominatim_osm,2026-08-02
3696,COCAL DOS ALVES,U. E. AMÉRICO JOSÉ DE BRITO,-3.5567686,-41.4745904,localidade,"JENIPAPO, COCAL DOS ALVES, Piauí, Brasil",nominatim_osm,2026-08-02
3695,COCAL DOS ALVES,U. E. FRANCISCO DE BRITO FONTENELE,-3.6715531,-41.4350653,localidade,"GOIABEIRA, COCAL DOS ALVES, Piauí, Brasil",nominatim_osm,2026-08-02
3688,COCAL DOS ALVES,U. E. JOSE CARDOSO DE BRITO,-3.608916,-41.403823,localidade,"TAPERA, COCAL DOS ALVES, Piauí, Brasil",nominatim_osm,2026-08-02
325,COLÔNIA DO PIAUÍ,ESCOLA MUNICIPAL JOSE EGIDIO,-7.2320268,-42.1777122,municipio,"COLÔNIA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
936,CORRENTE,GRUPO ESCOLAR MARIO LOBATO,-10.4401356,-45.1627472,municipio,"CORRENTE, Piauí, Brasil",nominatim_osm,2026-08-02
943,CORRENTE,IAPEP - INSTITUTO DE ASSISTENCIA PREV. DO PIAUI,-10.4401356,-45.1627472,municipio,"CORRENTE, Piauí, Brasil",nominatim_osm,2026-08-02
949,CORRENTE,UNIDADE ESCOLAR COMENDADOR JOSE F. NOGUEIRA PARANAGUA,-10.5613169,-45.101885,localidade,"BARREIRAO, CORRENTE, Piauí, Brasil",nominatim_osm,2026-08-02
951,CORRENTE,UNIDADE ESCOLAR JOSE DAMIAO,-10.3758308,-45.3150465,localidade,"PEDRA FURADA, CORRENTE, Piauí, Brasil",nominatim_osm,2026-08-02
3336,DIRCEU ARCOVERDE,PREFEITURA MUNICIPAL,-5.1066476,-42.7680928,localidade,"AV. TANCREDO NEVES, DIRCEU ARCOVERDE, Piauí, Brasil",nominatim_osm,2026-08-02
3341,DIRCEU ARCOVERDE,UNIDADE ESCOLAR MUNICIPAL DE SANTA CRUZ,-5.1006808,-42.7609518,localidade,"SANTA CRUZ, DIRCEU ARCOVERDE, Piauí, Brasil",nominatim_osm,2026-08-02
1039,DOM EXPEDITO LOPES,UNIDADE ESCOLAR MUNICIPAL ISOLADA FRANCISCO BARBOSA,-6.9580269,-41.6469486,municipio,"DOM EXPEDITO LOPES, Piauí, Brasil",nominatim_osm,2026-08-02
3650,FLORESTA DO PIAUÍ,UNIDADE BÁSICA DE SAÚDE ANTÔNIO JOSÉ OLIVEIRA,-7.5154968,-41.8562043,localidade,"CAIÇARA, FLORESTA DO PIAUÍ, Piauí, Brasil",nominatim_osm,2026-08-02
1203,FLORIANO,PENITENCIÁRIA GONÇALO DE CASTRO LIMA - VEREDA GRANDE,-6.9673651,-43.0848556,localidade,"VEREDA GRANDE, FLORIANO, Piauí, Brasil",nominatim_osm,2026-08-02
