CD_MUNICIPIO,NM_CHAVE,GRUPO_A,GRUPO_B,ANOS_A,ANOS_B,DS_MOTIVO
33294,ESCOLA ARTHUR VIEIRA DE OLIVEIRA,33294-0-1023,33294-0-1031,"2018,2020,2022,2024",2018,coexistem no mesmo ano
33294,ESCOLA MUNICIPAL VITOR BEZERRA LOLA,33294-0-1198,33294-0-1244,"2018,2020,2022,2024",2018,coexistem no mesmo ano
33499,ESCOLA MUNICIPAL JOSE ALVES SOBRINHO,33499-0-1090,33499-0-1236,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33499,IGREJA EVANGELICA ASSEMBLEIA DE DEUS,33499-0-1066,33499-0-1104,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33537,ESCOLA MUNICIPAL CASTRO ALVES,33537-0-1228,33537-0-1511,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33537,ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEICAO,33537-0-1490,33537-0-1600,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33537,ESCOLA MUNICIPAL SANTA CLARA,33537-0-1236,33537-0-1244,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33537,ESCOLA MUNICIPAL SANTO ANTONIO,33537-0-1651,33537-0-1660,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33596,COLEGIO MUNICIPAL EDIZIO MENDONCA,33596-0-1287,33596-0-1295,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
33839,PREDIO ESCOLAR MUNICIPAL,33839-0-1120,33839-0-1139,"2018,2020",2018,coexistem no mesmo ano
33979,ESCOLA NOSSA SENHORA DA CONCEICAO,33979-0-1430,33979-0-1457,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34193,ESCOLA MUNICIPAL ANTONIO CARLOS MAGALHAES,34193-0-1120,34193-0-1945,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34193,ESCOLA MUNICIPAL CORACAO DE JESUS,34193-0-1759,34193-0-1830,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34193,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA,34193-0-1872,34193-0-2070,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34193,ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA,34193-0-1899,34193-0-2062,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34193,ESCOLA MUNICIPAL SAO JOAO,34193-0-1791,34193-0-2046,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34339,ESCOLA MUNICIPAL DOM PEDRO I,34339-0-1120,34339-0-1333,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34339,ESCOLA MUNICIPAL JOSE SOARES SILVA,34339-0-1295,34339-0-1341,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34495,COLEGIO CENECISTA DE CATU,34495-0-1376,34495-0-1449,"2018,2020,2022,2024",2024,coexistem no mesmo ano
34533,ESCOLA ESTADUAL DE CARAIBAS,34533-0-1171,34533-0-1287,"2018,2020,2022",2020,coexistem no mesmo ano
34932,COLEGIO MUNICIPAL OLEGARIO FERREIRA DE OLIVEIRA,34932-0-1104,34932-0-1120,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
34932,ESCOLA GENERAL COSTA E SILVA,34932-0-1031,34932-0-1155,"2018,2020,2022,2024","2018,2022",coexistem no mesmo ano
34932,ESCOLA MUNICIPAL RUI BARBOSA,34932-0-1163,34932-0-1295,"2018,2020,2022,2024","2018,2022,2024",coexistem no mesmo ano
34932,ESCOLA MUNICIPAL VIEIRA DE MELO,34932-0-1180,34932-0-1228,"2018,2020,2024",2018,coexistem no mesmo ano
35254,PREDIO ESCOLAR MUNICIPAL GETULIO REGINALDO CUNHA,35254-0-1040,35254-0-1279,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
35718,NUCLEO ESCOLASSA ALMEIDA DE JESUS,35718-0-1120,35718-0-1325,"2018,2020,2022,2024","2018,2020",coexistem no mesmo ano
36633,ESCOLA MUNICIPAL EVARISTO CARDOSO VARJAO,36633-0-1678,36633-0-1686,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
36692,ESCOLA MUNICIPAL NOSSA SENHORA DAS GROTAS,36692-47-1805,36692-48-1813,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
36919,COLEGIO ESTADUAL JOAO VILAS BOAS,36919-0-1031,36919-0-1040,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
37753,ESCOLA MUNICIPAL MARECHAL DEODORO,37753-0-1104,37753-0-1350,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
37753,ESCOLA MUNICIPAL SAO JOSE,37753-0-1074,37753-0-1171,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
37915,GRUPO ESCOLAR,37915-0-1171,37915-0-1180,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
37915,GRUPO ESCOLAR,37915-0-1171,37915-0-1198,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
37915,PREDIO ESCOLAR,37915-0-1112,37915-0-1120,"2018,2020,2022,2024","2018,2020,2022",coexistem no mesmo ano
37915,PREDIO ESCOLAR,37915-0-1112,37915-0-1147,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
38415,ESCOLA ESTADUAL REUNIDAS MARQUES DE ABRANTES,38415-0-1031,38415-0-1040,"2018,2020,2022,2024",2018,coexistem no mesmo ano
38415,ESCOLA MUNICIPAL LAISA DE SOUZA GUIMARAES,38415-0-1023,38415-0-1414,"2018,2020,2022,2024",2018,coexistem no mesmo ano
38490,CENTRO EDUCACIONAL NOSSA SENHORA DO RESGATE,38490-5-1120,38490-6-1660,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
38490,ESCOLA MUNICIPAL ANTONIO CARLOS MAGALHAES,38490-15-1651,38490-4-1473,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
38490,UNIVERSIDADE CATOLICA DO SALVADOR,38490-10-2186,38490-2-1767,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
38776,GRUPO ESCOLAR ANTONIO CARLOS MAGALHAES,38776-0-1040,38776-0-1139,"2018,2020,2022","2018,2020,2022,2024",coexistem no mesmo ano
39047,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA,39047-0-1090,39047-0-1333,"2018,2020,2022,2024","2018,2020,2022,2024",coexistem no mesmo ano
39071,ESCOLA MUNICIPAL JONAS FERNANDES DE BRITO,39071-0-1279,39071-0-1295,"2018,2020,2022,2024",2018,coexistem no mesmo ano
39071,ESCOLA MUNICIPAL LEAO SIMOES CORREIA,39071-0-1414,39071-0-1430,"2018,2020,2022,2024",2018,coexistem no mesmo ano
