CD_MUNICIPIO,CD_MUNICIPIO_IBGE,NM_MUNICIPIO
10006,2201960,BRASILEIRA
10014,2200103,AGRICOLÂNDIA
10022,2200277,ALEGRETE DO PIAUÍ
10030,2200202,ÁGUA BRANCA
10049,2201150,BAIXA GRANDE DO RIBEIRO
10057,2200301,ALTO LONGÁ
10065,2201919,BOM PRINCÍPIO DO PIAUÍ
10073,2200400,ALTOS
10081,2201929,BONFIM DO PIAUÍ
10090,2200509,AMARANTE
10103,2202026,BURITI DOS MONTES
10111,2200608,ANGICAL DO PIAUÍ
10120,2202059,CABECEIRAS DO PIAUÍ
10138,2200707,ANÍSIO DE ABREU
10146,2202091,CALDEIRÃO GRANDE DO PIAUÍ
10154,2200806,ANTÔNIO ALMEIDA
10162,2202251,CANAVIEIRA
10170,2200905,AROAZES
10189,2202737,COIVARAS
10197,2201002,ARRAIAL
10200,2202752,COLÔNIA DO GURGUÉIA
10219,2201101,AVELINO LOPES
10227,2202778,COLÔNIA DO PIAUÍ
10235,2201200,BARRAS
10243,2202851,CORONEL JOSÉ DIAS
10251,2201309,BARREIRAS DO PIAUÍ
10260,2203750,FARTURA DO PIAUÍ
10278,2201408,BARRO DURO
10286,2205151,JACOBINA DO PIAUÍ
10294,2201507,BATALHA
10308,2205250,JARDIM DO MULATO
10316,2201606,BENEDITINOS
10324,2205557,LAGOA ALEGRE
10332,2201705,BERTOLÍNIA
10340,2205565,LAGOA DO BARRO DO PIAUÍ
10359,2201804,BOCAINA
10367,2205953,MARCOLÂNDIA
10375,2201903,BOM JESUS
10383,2207777,PATOS DO PIAUÍ
10391,2202000,BURITI DOS LOPES
10405,2207751,PASSAGEM FRANCA DO PIAUÍ
10413,2202109,CAMPINAS DO PIAUÍ
10421,2208650,QUEIMADA NOVA
10430,2202208,CAMPO MAIOR
10448,2209153,SANTA CRUZ DOS MILAGRES
10456,2202307,CANTO DO BURITI
10464,2209377,SANTA ROSA DO PIAUÍ
10472,2202406,CAPITÃO DE CAMPOS
10480,2209351,SANTANA DO PIAUÍ
10499,2202505,CARACOL
10502,2209559,SÃO BRAZ DO PIAUÍ
10510,2202604,CASTELO DO PIAUÍ
10529,2210052,SÃO JOSÉ DO DIVINO
10537,2202703,COCAL
10545,2210656,SIGEFREDO PACHECO
10553,2202802,CONCEIÇÃO DO CANINDÉ
10561,2210359,SÃO LOURENÇO DO PIAUÍ
10570,2202901,CORRENTE
10588,2211357,VÁRZEA BRANCA
10596,2203008,CRISTALÂNDIA DO PIAUÍ
10600,2201176,BARRA D'ALCÂNTARA
10618,2203107,CRISTINO CASTRO
10626,2201556,BELA VISTA DO PIAUÍ
10634,2203206,CURIMATÁ
10642,2201988,BREJO DO PIAUÍ
10650,2203305,DEMERVAL LOBÃO
10669,2201770,BOA HORA
10677,2203404,DOM EXPEDITO LOPES
10685,2203453,DOM INOCÊNCIO
10693,2203503,ELESBÃO VELOSO
10707,2202455,CAPITÃO GERVÁSIO OLIVEIRA
10715,2203602,ELISEU MARTINS
10723,2202133,CAMPO GRANDE DO PIAUÍ
10731,2203701,ESPERANTINA
10740,2202174,CAMPO LARGO DO PIAUÍ
10758,2203800,FLORES DO PIAUÍ
10766,2203230,CURRAIS
10774,2203909,FLORIANO
10782,2204352,GEMINIANO
10790,2204006,FRANCINÓPOLIS
10804,2204550,GUARIBAS
10812,2204105,FRANCISCO AYRES
10820,2204659,ILHA GRANDE
10839,2204204,FRANCISCO SANTOS
