SG_PARTIDO,NM_PARTIDO,NR_PARTIDO_ATUAL,SG_ANTERIORES,DS_NOTA
AGIR,Agir,36,PTC,Renomeado de PTC em 2022
AVANTE,Avante,70,,
CIDADANIA,Cidadania,23,PPS,Renomeado de PPS em 2019
DC,Democracia Cristã,27,,
DEM,Democratas,25,,Fundiu-se com o PSL formando o União Brasil em 2022; o número 25 foi depois reatribuído ao PRD
MDB,Movimento Democrático Brasileiro,15,,
MOBILIZA,Mobiliza,33,PMN,Renomeado de PMN em 2023
NOVO,Partido Novo,30,,
PATRIOTA,Patriota,51,,Fundiu-se com o PTB formando o PRD em 2023
PC do B,Partido Comunista do Brasil,65,,
PCB,Partido Comunista Brasileiro,21,,
PCO,Partido da Causa Operária,29,,
PDT,Partido Democrático Trabalhista,12,,
PHS,Partido Humanista da Solidariedade,31,,Incorporado ao Podemos em 2019
PL,Partido Liberal,22,PR,Renomeado de PR em 2019
PMB,Partido da Mulher Brasileira,35,,
PODE,Podemos,20,,Usou o número 19 até 2022 e passou ao 20 em 2023 após incorporar o PSC
PP,Progressistas,11,,
PPL,Partido Pátria Livre,54,,Incorporado ao PC do B em 2019
PRD,Partido Renovação Democrática,25,,Criado em 2023 pela fusão de PTB e Patriota; herdou o número 25 antes usado pelo DEM
PROS,Partido Republicano da Ordem Social,90,,Incorporado ao Solidariedade em 2023
PRP,Partido Republicano Progressista,44,,Incorporado ao Patriota em 2019; o número 44 foi depois reatribuído ao União Brasil
PRTB,Partido Renovador Trabalhista Brasileiro,28,,
PSB,Partido Socialista Brasileiro,40,,
PSC,Partido Social Cristão,20,,Incorporado ao Podemos em 2022; o número 20 passou ao Podemos
PSD,Partido Social Democrático,55,,
PSDB,Partido da Social Democracia Brasileira,45,,
PSL,Partido Social Liberal,17,,Fundiu-se com o DEM formando o União Brasil em 2022
PSOL,Partido Socialismo e Liberdade,50,,
PSTU,Partido Socialista dos Trabalhadores Unificado,16,,
PT,Partido dos Trabalhadores,13,,
PTB,Partido Trabalhista Brasileiro,14,,Fundiu-se com o Patriota formando o PRD em 2023
PV,Partido Verde,43,,
REDE,Rede Sustentabilidade,18,,
REPUBLICANOS,Republicanos,10,PRB,Renomeado de PRB em 2019
SOLIDARIEDADE,Solidariedade,77,,
UNIÃO,União Brasil,44,,Criado em 2022 pela fusão de DEM e PSL; herdou o número 44 antes usado pelo PRP
UP,Unidade Popular,80,,
