CD_MUNICIPIO,2018,2020,2022,2024,FL_MULTIZONA,FL_ZONA_RENUMERADA,QT_LOCAIS
30007,205,205,205,205,False,False,52
30058,"188,203","188,203","188,203","188,203",True,False,47
30660,175,175,175,175,False,False,8
30678,61,61,61,61,False,False,14
30694,28,28,28,28,False,False,5
30716,199,199,199,199,False,False,17
30732,166,166,166,166,False,False,12
30759,174,174,174,174,False,False,17
30775,150,150,150,150,False,False,22
30791,77,77,77,77,False,False,25
30813,196,196,196,196,False,False,15
30830,191,191,191,191,False,False,12
30856,83,83,83,83,False,False,20
30872,186,186,186,186,False,False,32
30899,82,82,82,82,False,False,14
30910,149,149,149,149,False,False,16
30937,191,191,191,191,False,False,4
30953,93,93,93,93,False,False,9
30970,110,110,110,110,False,False,13
30996,199,199,199,199,False,False,16
33014,105,105,105,105,False,False,20
33030,158,158,158,158,False,False,11
33057,21,21,21,21,False,False,13
33065,52,52,52,52,False,False,9
33073,74,74,74,74,False,False,21
33090,111,111,111,111,False,False,25
33111,147,147,147,147,False,False,5
33138,163,163,163,163,False,False,70
33154,112,112,112,112,False,False,16
33170,135,135,135,135,False,False,11
33197,36,36,36,36,False,False,18
33219,192,192,192,192,False,False,16
33235,161,161,161,161,False,False,28
33251,119,119,119,119,False,False,13
33260,45,45,45,45,False,False,19
33278,126,126,126,126,False,False,37
33294,194,157,157,157,False,True,13
33316,82,82,82,82,False,False,14
33332,143,143,143,143,False,False,17
33359,53,53,53,53,False,False,15
33375,44,44,44,44,False,False,12
33383,200,200,200,200,False,False,5
33391,90,90,90,90,False,False,22
33405,23,23,23,23,False,False,8
33413,123,123,123,123,False,False,51
33430,163,163,163,163,False,False,8
33456,30,30,30,30,False,False,10
33472,73,73,73,73,False,False,11
33499,126,126,126,126,False,False,27
33510,86,86,86,86,False,False,14
33529,110,110,110,110,False,False,17
33537,77,77,77,77,False,False,83
33553,169,169,169,169,False,False,30
33570,139,139,139,139,False,False,24
33596,176,176,176,176,False,False,35
33618,134,134,134,134,False,False,7
33634,"70,75","70,75","70,75","70,75",True,False,80
33650,136,136,136,136,False,False,7
33677,34,34,34,34,False,False,16
33693,177,177,177,177,False,False,20
33715,150,150,150,150,False,False,18
33731,59,59,59,59,False,False,17
33758,42,42,42,42,False,False,19
